test,bss_mb,iteration,execve_ns,mmput_ns
test7,1024,9,843079,3466
test7,1024,10,79591,5771
test7,1024,11,61060,4412
test7,1024,12,984986,3603
test7,1024,13,77924,5461
test7,1024,14,1015924,2890
test7,1024,15,936944,2790
test7,1024,16,64849,4977
test7,1024,17,62590,5148
test7,1024,18,1149857,2965
test7,1024,19,70998,4936
test7,1024,20,668878,2661
test7,1024,21,763419,3613
test7,1024,22,69654,4749
test7,1024,23,824167,3037
test7,1024,24,1022658,3093
test7,1024,25,64923,5233
test7,1024,26,66188,4820
test7,1024,27,592223,3097
test7,1024,28,1112384,2483
test7,1024,29,50388,4156
test7,1024,30,60964,5175
test7,1024,31,572488,2797
test7,1024,32,57611,4524
test7,1024,33,69071,4872
test7,1024,34,54675,4144
test7,1024,35,1133588,2519
test7,1024,36,1180999,3000
test7,1024,37,54981,4642
test7,1024,38,78451,6186
test7,1024,39,835634,2465
test7,1024,40,62555,4603
test7,1024,41,1232572,4047
test7,1024,42,689820,3099
test7,1024,43,49959,4096
test7,1024,44,58981,5003
test7,1024,45,66446,4623
test7,1024,46,72205,4772
test7,1024,47,73462,4931
test7,1024,48,73490,4751
test7,1024,49,591837,2644
test7,1024,50,59111,4535
test8,1600,1,1016383,3174
test8,1600,2,63061,4398
test8,1600,3,751572,3173
test8,1600,4,1459834,3079
test8,1600,5,758304,2888
test8,1600,6,945457,3103
test8,1600,7,1087456,3501
test8,1600,8,1126257,2665
test8,1600,9,68888,4857
test8,1600,10,888881,3423
test8,1600,11,4497274,3669
test8,1600,12,4208661,3739
test8,1600,13,1205719,3671
test8,1600,14,754763,3159
test8,1600,15,76785,5543
test8,1600,16,78578,4943
test8,1600,17,1072280,3398
test8,1600,18,84361,5035
test8,1600,19,76511,4931
test8,1600,20,83268,5914
test8,1600,21,153690,3104
test8,1600,22,1238576,3004
test8,1600,23,1204620,2941
test8,1600,24,95452,7951
test8,1600,25,76329,4851
test8,1600,26,1272571,3356
test8,1600,27,808690,7981
test8,1600,28,895146,3789
test8,1600,29,75975,5985
test8,1600,30,81740,5253
test8,1600,31,76798,10176
test8,1600,32,89502,7748
test8,1600,33,82725,5948
test8,1600,34,2360611,3708
test8,1600,35,960864,3827
test8,1600,36,16504888,3127
test8,1600,37,1241118,3736
test8,1600,38,1113351,2728
test8,1600,39,67914,4735
test8,1600,40,589257,3298
test8,1600,41,71876,6317
test8,1600,42,58873,4836
test8,1600,43,814718,3487
test8,1600,44,4259625,3123
test8,1600,45,92272,5823
test8,1600,46,89642,20128
test8,1600,47,81190,5686
test8,1600,48,850514,3617
test8,1600,49,84457,5596
test8,1600,50,85382,5331
test9,2048,1,189836,5717
test9,2048,2,710819,4391
test9,2048,3,827439,3737
test9,2048,4,82768,5388
test9,2048,5,55388,4853
test9,2048,6,89113,4780
test9,2048,7,72902,4919
test9,2048,8,74033,5887
test9,2048,9,71777,5221
test9,2048,10,61441,4882
test9,2048,11,65998,5489
test9,2048,12,830920,2897
test9,2048,13,75040,6097
test9,2048,14,68196,5357
test9,2048,15,60434,5182
test9,2048,16,88667,5685
test9,2048,17,74936,5884
test9,2048,18,86994,9765
test9,2048,19,86539,6005
test9,2048,20,83954,6037
test9,2048,21,75002,5515
test9,2048,22,102916,5192
test9,2048,23,80333,9521
test9,2048,24,85635,6135
test9,2048,25,68243,5092
test9,2048,26,71037,4522
test9,2048,27,169771,5448
test9,2048,28,230526,5125
test9,2048,29,75822,5357
test9,2048,30,244405,5965
test9,2048,31,1198289,2910
test9,2048,32,68021,5158
test9,2048,33,788776,3415
test9,2048,34,64912,5190
test9,2048,35,616567,3817
test9,2048,36,632737,3497
test9,2048,37,69128,5193
test9,2048,38,589324,2693
test9,2048,39,4432794,3222
test9,2048,40,69590,4722
test9,2048,41,607746,2948
test9,2048,42,69830,5438
test9,2048,43,4160817,2888
test9,2048,44,69318,5240
test9,2048,45,4404018,4212
test9,2048,46,704384,3105
test9,2048,47,65550,5251
test9,2048,48,915385,3451
test9,2048,49,596322,3357
test9,2048,50,78383,6170
test10,4096,1,43082888,41808481
test10,4096,2,45171493,43962922
test10,4096,3,42689457,41367909
test10,4096,4,43754919,42372400
test10,4096,5,43366315,41190603
test10,4096,6,42525111,41344771
test10,4096,7,42510260,41469044
test10,4096,8,42479919,41537824
test10,4096,9,43074175,41542254
test10,4096,10,43664459,42267986
test10,4096,11,43700713,42695521
test10,4096,12,42524233,41483901
test10,4096,13,42776442,41263347
test10,4096,14,42702513,41596837
test10,4096,15,42130736,41182727
test10,4096,16,42258403,40913114
test10,4096,17,42486131,41017076
test10,4096,18,41409210,40338029
test10,4096,19,41961421,41051831
test10,4096,20,43509356,42305686
test10,4096,21,43272409,41863800
test10,4096,22,48280807,46460856
test10,4096,23,42901571,41753829
test10,4096,24,43242585,41955822
test10,4096,25,43237813,42011055
test10,4096,26,43631763,42415142
test10,4096,27,44008711,42196151
test10,4096,28,41706052,40760196
test10,4096,29,43603329,42268673
test10,4096,30,44863297,43525063
test10,4096,31,43117287,41771316
test10,4096,32,43488982,42353216
test10,4096,33,42897005,41589606
test10,4096,34,42769142,41525589
test10,4096,35,42060002,40842283
test10,4096,36,43693681,43039849
test10,4096,37,43828771,42423483
test10,4096,38,42439689,41448940
test10,4096,39,43780502,42271336
test10,4096,40,42797392,42017896
test10,4096,41,41828683,40775862
test10,4096,42,43279958,41607756
test10,4096,43,42263890,41014031
test10,4096,44,43341218,42053173
test10,4096,45,42590294,41072449
test10,4096,46,43421529,41725013
test10,4096,47,42217056,41209472
test10,4096,48,42724958,41122723
test10,4096,49,43082635,41991715
test10,4096,50,43112095,42031694

# =============================== SUMMARY ===============================
# Outlier removal: IQR method (values outside [Q1 - 1.5*IQR, Q3 + 1.5*IQR] removed)

test,bss_mb,total_runs,raw_avg_execve_ns,raw_avg_execve_us,raw_avg_mmput_ns,raw_avg_mmput_us,filtered_runs_execve,filtered_avg_execve_ns,filtered_avg_execve_us,filtered_runs_mmput,filtered_avg_mmput_ns,filtered_avg_mmput_us
test,0,50,41790,41.79,14505,14.50,44,40287,40.29,45,13946,13.95
test1,50,50,315157,315.16,3545,3.54,50,315157,315.16,50,3545,3.54
test2,200,50,286907,286.91,4419,4.42,50,286907,286.91,49,4322,4.32
test3,300,50,298987,298.99,4582,4.58,50,298987,298.99,48,4253,4.25
test4,400,50,459762,459.76,4275,4.27,50,459762,459.76,49,4117,4.12
test5,600,50,522729,522.73,4467,4.47,48,321928,321.93,50,4467,4.47
test6,800,50,722212,722.21,3891,3.89,48,497524,497.52,50,3891,3.89
test7,1024,50,404408,404.41,4145,4.15,50,404408,404.41,50,4145,4.15
test8,1600,50,1115653,1115.65,4789,4.79,46,572005,572.00,48,4357,4.36
test9,2048,50,503256,503.26,4958,4.96,47,258833,258.83,48,4763,4.76
test10,4096,50,43105225,43105.23,41836205,41836.21,48,42954353,42954.35,48,41695552,41695.55

# Generated: Sunday 26 April 2026 12:27:37 PM IST
